,0
0,Q96MH6
1,Q9NQ84
2,O43347
3,Q9UKG9
4,Q9NPR2
5,P06493
6,P54707
7,Q9H3H1
8,Q13505
9,Q8NFV4
10,Q68E01
11,O00479
12,P56545
13,Q53FZ2
14,Q13310
