,Gene
0,MSI1
1,CROT
2,TMEM68
3,CDK1
4,UTP3
5,TRIT1
6,ACSM3
7,SLC35F6
8,COQ9
9,MRPS22
10,RBM47
11,TARS2
12,RAB3D
13,EHHADH
14,COIL
15,PCDH1
16,SLC25A4
17,ABHD11
18,SLC25A6
19,NME2
20,PM20D2
21,MSH2
22,URI1
23,PRDX6
24,TSPYL5
25,CDH3
26,NFX1
27,INTS3
