,0
0,O43347
1,Q9UKG9
2,Q96MH6
3,P06493
4,Q9NQZ2
5,Q9H3H1
6,Q53FZ2
7,Q8N357
8,O75208
9,P82650
10,A0AV96
11,Q9BW92
12,O95716
13,Q08426
14,P38432
15,Q08174
16,P12235
17,Q8NFV4
18,P12236
19,P22392
20,Q8IYS1
21,P43246
22,O94763
23,P30041
24,Q86VY4
25,P22223
26,Q12986
27,Q68E01
