"","TCGA-13-1484","TCGA-13-1495","TCGA-13-1499","TCGA-13-2071","TCGA-23-1123","TCGA-23-1124","TCGA-24-1104","TCGA-24-1105","TCGA-24-1428","TCGA-24-1466","TCGA-24-1467","TCGA-24-1545","TCGA-24-1550","TCGA-24-1551","TCGA-24-1552","TCGA-24-1556","TCGA-24-1563","TCGA-24-1603","TCGA-24-1604","TCGA-24-1923","TCGA-24-2020","TCGA-24-2023","TCGA-24-2027","TCGA-24-2260","TCGA-24-2267","TCGA-24-2288","TCGA-24-2295","TCGA-25-1316","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1630","TCGA-25-1635","TCGA-25-2400","TCGA-29-1774","TCGA-29-1775","TCGA-29-1776","TCGA-29-1777","TCGA-29-2414","TCGA-29-2432","TCGA-30-1866","TCGA-36-1576","TCGA-36-1581","TCGA-36-2529","TCGA-36-2543","TCGA-42-2588","TCGA-42-2590","TCGA-61-1900","TCGA-61-1919","TCGA-61-2095","TCGA-61-2096","TCGA-61-2612","TCGA-09-1664","TCGA-09-2056","TCGA-13-1404","TCGA-13-1409","TCGA-13-1410","TCGA-13-1482","TCGA-13-1483","TCGA-13-1485","TCGA-13-1487","TCGA-13-1488","TCGA-13-1489","TCGA-13-1492","TCGA-13-1494","TCGA-13-1497","TCGA-13-1500","TCGA-13-1501","TCGA-13-1504","TCGA-13-1507","TCGA-13-1511","TCGA-13-2059","TCGA-13-2060","TCGA-13-2061","TCGA-13-2065","TCGA-13-2066","TCGA-23-1121","TCGA-23-1122","TCGA-24-1103","TCGA-24-1416","TCGA-24-1422","TCGA-24-1430","TCGA-24-1431","TCGA-24-1435","TCGA-24-1436","TCGA-24-1464","TCGA-24-1474","TCGA-24-1544","TCGA-24-1548","TCGA-24-1553","TCGA-24-1555","TCGA-24-1557","TCGA-24-1558","TCGA-24-1562","TCGA-24-1565","TCGA-24-1920","TCGA-24-1927","TCGA-24-2024","TCGA-24-2030","TCGA-24-2033","TCGA-24-2261","TCGA-24-2289","TCGA-24-2290","TCGA-24-2298","TCGA-25-1312","TCGA-25-1313","TCGA-25-1318","TCGA-25-1322","TCGA-25-1323","TCGA-25-1329","TCGA-25-1623","TCGA-25-1628","TCGA-25-1631","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2404","TCGA-25-2409","TCGA-29-1688","TCGA-29-1690","TCGA-29-1693","TCGA-29-1696","TCGA-29-1697","TCGA-29-1698","TCGA-29-1702","TCGA-29-1705","TCGA-29-1710","TCGA-29-1711","TCGA-29-1762","TCGA-29-1763","TCGA-29-1766","TCGA-29-1768","TCGA-29-1769","TCGA-29-1770","TCGA-29-1771","TCGA-29-1785","TCGA-29-2427","TCGA-29-2431","TCGA-30-1887","TCGA-30-1891","TCGA-36-1569","TCGA-36-1570","TCGA-36-1571","TCGA-36-1577","TCGA-36-1578","TCGA-36-1580","TCGA-36-2530","TCGA-36-2532","TCGA-36-2534","TCGA-36-2537","TCGA-36-2542","TCGA-36-2544","TCGA-36-2545","TCGA-36-2547","TCGA-36-2549","TCGA-59-2348","TCGA-59-2351","TCGA-59-2352","TCGA-59-2372","TCGA-61-1724","TCGA-61-1727","TCGA-61-1741","TCGA-61-1907","TCGA-61-1910","TCGA-61-1911","TCGA-61-1914","TCGA-61-1915","TCGA-61-1918","TCGA-61-1995","TCGA-61-2008","TCGA-61-2087","TCGA-61-2088","TCGA-61-2094","TCGA-61-2613"
"Lymphocyte",1158.71223880427,278.035688444522,918.855379493481,542.40629251419,635.543124776911,134.543923346633,518.957202478338,-359.130862952129,622.804188345842,129.038601015312,-39.8330930108054,697.712003507453,396.068202880881,430.109054941566,-158.272070680412,320.44304820364,371.786267948229,110.31713514735,83.203391130783,290.125444100041,-95.3904848452835,85.3838641478771,15.7846452687062,21.5104677209099,793.258084621433,725.839308216511,-126.478633312373,391.86006630298,-1.07974097887248,82.6138742605582,-34.7845495177064,568.583481515762,726.09218573212,23.1208225664827,1.64123977928786,-25.9923839373946,193.559025149009,321.05689232103,-153.569720012848,717.632432420541,256.605492815714,852.946758233035,563.323881569611,543.629939479465,1076.66671800845,649.182895709005,82.0530422481192,-129.885970426928,381.659932088896,488.141192205189,1.56289011076734,407.406333108021,-44.1307954484355,208.783479104661,140.779904986902,-95.884903413634,410.933477641246,326.21632731502,328.741677128483,52.2873918774545,-240.997097278654,1330.04217944112,8.38286638528406,162.92903228917,-143.223135898474,162.939486625471,555.131719085662,0.811187825786647,480.240654796299,386.494389755438,169.137896531331,130.68719073953,546.224757946577,901.063830543688,624.96896408483,52.826827676197,-289.642207977469,362.749867867313,-151.607831328415,-20.0699214053162,174.893477130861,707.197049435066,328.168427215089,607.359692795233,297.457678353325,114.13054197797,265.172563423149,-106.182211801389,61.1899451536176,837.164442338248,-32.1248672755842,202.834203576176,-285.679124153433,296.563439338682,440.670298403648,42.8042006391083,350.758400324001,-7.9422754847218,-8.40082206120329,-505.521863891451,796.76925300873,480.083127005361,265.870545992155,-37.0256855474949,-232.929555118221,485.990806113565,-236.982182460349,396.38276128769,-347.614461935542,-29.9608580938489,532.099541254994,610.107887025339,81.4557337847117,212.161661412522,-168.664885013982,341.935949364983,218.233632206702,154.613893245617,875.580955119409,561.27964170523,-92.6715754922348,388.387526739256,-49.6578615401428,-329.375821488426,-47.6155182575717,-189.394713865388,981.673856842845,475.620864009252,-63.0392070489448,-129.72707407911,3.60326563505329,543.478498992985,664.562258445114,-48.3512886194314,148.709962766585,794.500505850979,1134.86272861364,-53.2128846631785,402.451601536519,-39.9327215883325,495.723232299743,-99.9246580263075,-437.279912947567,313.780122949591,447.287976466524,104.970828555473,341.327618606155,550.173450813734,197.78936983333,-116.787160790044,282.844561189897,-53.8927705553164,878.473175442309,-172.587599179646,191.074200038751,133.821179410176,303.672135974332,274.62351958885,-259.074470887087,279.62630016053,1183.5173884763,-26.076108300759,670.627798607192,-144.885953763049,624.604236600172,-24.9852286918683,643.322380486036,93.3331595596831,545.278790573498,-6.74580887299826,445.032500549182,-60.1589175541076,1365.28019763119,565.72640077627
"Stroma",-342.426668738459,1285.80027916504,756.688731330092,908.814971483092,-739.052999573912,10.5086620587506,552.317369298154,413.424430229452,-454.676554728141,-327.039686903212,-176.064604118817,1199.62113741,647.83382453002,1163.04503343191,322.90680357462,996.167842039553,971.819629787358,-307.196738783516,-21.6169551496966,558.129866208078,-237.751206670328,-197.662923521729,914.037205288292,518.944782891631,-114.08664635435,15.4748786255684,186.854471263383,-22.7166816897372,969.205830732664,1464.08757508095,-109.065467621692,713.972406725611,1020.01425904637,-172.154255033508,-58.744429656853,-208.229918896091,696.335857653635,1028.98372104174,1042.55827284007,-358.72029276998,-537.36826725802,1076.98676409515,368.428926092278,1047.3093386403,-408.412346916993,1379.77302733183,-114.2896891475,161.943241323489,718.295251065178,131.912744219215,378.059742580409,1025.41621760934,432.459861336296,-394.334740321916,194.936645966173,558.900314335313,422.342389922412,1080.38431096437,833.163229559492,944.644066383862,744.626125092153,205.616681759777,-266.179980632854,-354.301737342821,993.208099830698,-369.395520237817,1065.01112847208,1356.94017662359,697.574301607821,-61.5061281889839,-71.4661817810461,-191.793134909539,-245.143635439897,-529.044912890844,117.148116326173,-519.58961652856,455.166601723076,1234.6331204271,-186.333811415069,148.810737528439,1120.00559724913,1027.65890677866,-246.629031516221,919.351085574514,45.4316011933585,431.357564528833,-24.3067584553313,250.882105886862,-281.406208855186,-46.0482885854222,-480.930419090999,-62.3130043821606,-261.269736704085,439.885934759437,-448.288630148955,-344.442236684582,-73.5633974415253,-100.20765879019,-377.264220192793,463.334626973671,-484.617264608467,928.025496151382,-556.320657637819,-93.4393955989707,-315.211941969997,107.727214148328,169.782865190963,136.377307149256,626.923915889923,666.303084163022,734.617577293362,1109.03078183207,10.8169029193602,579.204531239743,-343.576215033676,68.0168202979166,1088.64549937985,-297.540179183667,-460.480835379573,708.540226887433,662.676478765546,112.499623713707,-577.964488935889,1072.12431766007,-150.216063677426,1066.39626324706,667.72157340411,-475.050627530914,14.3513966934163,8.67224723982456,1097.80286254645,1540.37831010455,-130.520701113426,1006.29960942652,141.542726168619,868.510306801663,272.815483196419,344.069132785062,883.815599924953,952.627252860681,434.014486034566,264.512806253824,-213.912045950331,360.581777040618,-618.798756574738,826.026740236232,-303.643902460146,-637.809610101605,-135.442029424382,201.165713913556,-173.702887124964,148.465773657753,10.087227213372,-352.034112656099,17.6306996360704,236.63651924202,674.940616942287,333.4637251686,68.5525735301793,238.219263771686,-460.526644196912,-470.543176409419,-731.166764689557,-563.250544951849,177.081881587292,-386.506772938511,-647.366153614446,-474.386513670377,-677.540224090379,294.762385034391,-387.301738107245,-403.198616596531,-465.410309122165,1281.56354173379
"Tumor",-820.73802384694,-36.2417546324059,-180.403022003702,-290.4932003615,697.387726587599,468.546944516514,575.612396943388,894.007922941312,311.895607171189,562.240024876109,531.782860175821,-651.173074910442,-516.455724417845,-6.49000857439297,735.567915326993,-285.009784171668,-236.644915930515,-8.22319723352296,632.457944893489,-521.596824544077,659.396955331812,449.658762718876,99.5238153089995,45.5043490289298,687.680186927691,234.981267791267,750.643082200446,-32.1945486502171,752.936885226476,-503.966447707182,604.331994115546,-280.900467653681,-256.129063462403,851.483656669264,562.451884068453,633.877658145522,145.815495378193,268.107987114205,838.030526697678,378.586119831286,645.483082303992,-561.758913981938,-39.0759385194841,-208.198045632972,-79.7343995697251,-344.080925973102,334.258309545543,851.706948408386,419.787262684624,-95.7130967881211,491.402295402899,-256.945935352504,503.81887338591,905.465699292025,331.92801092768,-178.176606316943,-313.817122767602,83.0079237659923,-14.414414380904,-101.365830596675,281.462514739491,-812.966614523602,150.219428929226,31.215495773917,-175.313377841273,699.753994076765,-334.960850915038,-994.487791482751,-517.229205671977,62.660555682866,111.108109098121,633.206021282227,582.370729882222,-218.789527364864,235.347358043923,473.911268628204,573.510402103696,-429.963841678352,929.562203543417,957.283809541655,-163.920318355297,-43.7598223600319,533.171968557898,-81.8822207539067,48.4593004503557,428.07807309919,554.759056613234,329.013632583775,465.731507120494,-369.963961409067,471.729991784174,711.41517377962,814.9701336373,222.678351746735,285.370801430444,854.505697720936,618.501846596637,573.404130592681,575.965540964559,450.502654540668,180.074556379767,232.17309080953,231.175510148721,769.96642625064,240.217923164044,33.0262814976614,679.095569000833,60.6728036980755,-133.627886202103,-294.117906162789,484.209501690811,-715.7332097412,578.096578456299,659.25619776671,230.966725388252,499.111818794337,-109.224522647606,908.460935789406,217.238448769129,12.6517913442974,593.300863237792,181.216117192883,671.21922911019,-2.81512361444589,383.732203335335,166.541304112019,-771.884329371367,237.113885332442,384.783972142057,363.163682487539,-319.712476353433,-732.281785625696,-78.8363708504209,-154.078116354294,300.85234682788,-186.925650540063,198.126639255411,209.179740289757,102.881839735436,-181.713331834595,262.109424582883,590.291955403548,504.670424873504,559.565398925865,522.160199246145,-203.547561887665,508.443699856383,531.996268100607,730.319376564191,385.347937036311,735.946871736484,670.346864985659,752.227379032079,926.806581259511,193.058117830792,166.490181919593,-224.798289481686,-313.159081929189,692.855229321592,662.363655902578,180.403216658843,629.263665159882,454.14224674513,500.558523077369,293.386094566759,400.861932304833,827.903688962601,989.620195123141,217.600480392506,107.942452265782,669.055697733285,468.428700804076,-434.002668523362,-638.386951757538
