Accession,X100Tumor_0Stroma_0Lymphocyte_Other_N.A,X100Tumor_0Stroma_0Lymphocyte_Other_N.A.1,X87.5Tumor_12.5Stroma_0Lymphocyte_Other_N.A,X75Tumor_25Stroma_0Lymphocyte_Other_N.A,X50Tumor_50Stroma_0Lymphocyte_Other_N.A,X25Tumor_75Stroma_0Lymphocyte_Other_N.A,X12.5Tumor_87.5Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A.1,X0Tumor_0Stroma_100Lymphocyte_Other_N.A,X0Tumor_0Stroma_100Lymphocyte_Other_N.A.1,X50Tumor_0Stroma_50Lymphocyte_Other_N.A,X75Tumor_0Stroma_25Lymphocyte_Other_N.A,X87.5Tumor_0Stroma_12.50Lymphocyte_Other_N.A,X93.75Tumor_0Stroma_6.25Lymphocyte_Other_N.A,X96.875Tumor_0Stroma_3.125Lymphocyte_Other_N.A
Q9HCU4,0.296422187701369,0.379567392979731,0.722377313946356,0.614317748123265,0.16791632752311,-0.033483067395136,0.410113752068607,0.0549002305387505,0.0808851662011633,-0.87598470907538,-1.04565885376554,-0.186770707858331,0.236978558210681,0.164966680600776,0.492450166108821,0.411230024300665
Q9HCU5,0.17389988112154,0.0139109644137923,0.208476270896324,0.299428701048491,0.0750123748895772,0.456641001360714,0.319255849540558,0.137380667682916,0.285539016259057,0.180962721151022,-0.0671806754572778,-0.230708581352204,-0.0229424925911705,-0.0234384217630031,-0.136153913303154,-0.0641025714953272
Q9HCU8,-0.551974328843829,-0.618365013216385,-0.516889210448017,-1.20193208365383,-0.830918511923431,-0.252718495229844,0.597622843400524,0.0986707157954494,0.327758583022202,-0.184395227272603,0.103353880271451,-0.479300377041891,-0.442322970948288,-0.680797211615948,-0.495404659960698,-0.496479115608047
Q9HCU9,-0.589575985269166,-0.562831210106645,-0.829703100307488,-0.722275831804881,-0.723826828708055,-0.601705226500719,0.0130949386016813,-0.245534807711021,-0.355553213931219,0.475934926660265,0.622769955737792,-0.333904646032187,-0.479241979705571,-0.572055867351871,-0.512153266458035,-0.384961899167947
Q9HD20,0.240077212645542,0.146703076679178,0.180713862103642,0.221787343579249,0.0475107040445188,-0.260901440582947,-0.0470142466152199,-0.165980179450876,-0.333598373503203,-0.129337521602987,-0.15729409742457,-0.0531009547323256,0.073158884003027,0.143045478449306,0.0652822065977481,0.15816205537588
Q9HD23,-0.128390913141867,0.406569271343028,0.0443073789514599,0.210075847938356,-0.105049468069967,0.184101876453089,0.344194846077878,0.121422597789865,-0.103223504829693,-0.341261794889839,-0.0082831625298257,-0.243943637478912,0.0780769018279213,0.437338835226761,0.335201655500982,0.0093285359711064
Q9HD26,-0.773115813978687,-0.621943404162705,-0.355358301750811,-0.633288693905911,-0.215144563607952,0.138223954857383,0.390095060805697,0.497120457766821,0.588758982957431,-0.349269483225019,-0.520070603563756,-0.84298760457156,-0.595584800767175,-0.136355069586262,-0.599520304529778,-0.548136927383351
Q9HD33,0.383212985912799,-0.0413218884648383,0.261346157004954,-0.259862437437027,-0.222296912799255,0.135956138344885,-0.252967744986075,-0.162063293972817,-0.529057761286825,-0.0391244955040782,-0.281152069013125,0.0001217617688561,0.120547257113455,-0.143821803098254,0.129849196591949,0.199650884398757
Q9HD34,0.121011029653578,0.071169349371136,0.0143044825937515,0.0198044827687255,-0.39460931724166,-0.590077992808604,-0.448961540250357,-0.608871781460349,-0.560017976896395,0.0642349842961441,0.0326665270073013,-0.153148330181745,0.275185985931476,0.117116754780458,0.090510290584714,0.232909534253816
Q9HD42,-0.110442732587904,-0.223560159181388,-0.292129355231713,-0.254744685095131,-0.30999210185151,-0.179694935715207,-0.0977099316352798,0.0053413079097343,-0.0643614040464145,0.0245694450680129,0.123659378580066,-0.0553543521552764,-0.0168739308909121,-0.102890343361202,-0.162056234596528,-0.0968492450011336
Q9HD45,0.446975985874233,0.352838252987475,0.249936041000176,0.046137026363168,-0.206569537213993,-0.121238922765244,0.08742327431573,-0.208043028586536,-0.136308437982572,0.085302267197069,-0.614608074478649,-0.190018773855029,-0.0451643797568918,0.110948584794526,0.100385940831057,0.27024766497834
Q9HD67,0.462490604488779,0.202257289335341,0.639661577109278,0.852433634424018,0.15593865125727,0.465651597333092,0.373429520289322,0.347441306177135,0.211683978111842,-0.718980009909247,-0.972708164066465,-0.391345499795258,0.190778686978352,0.306376545204908,0.413721937252327,0.36945709523719
Q9HDC9,0.204681098874266,0.124945248234464,0.146538430019632,0.120554736878315,0.0953780446758559,0.120514659716396,0.116939293137797,-0.0304264249176362,-0.0641991369770904,-0.102994941810774,-0.186431440878929,-0.086809088672878,0.0051811678490762,0.133337284096416,0.124066751285641,0.152547051128534
Q9NNW7,-0.0980875936666338,-0.314455581982282,-0.574445249389957,-0.360248560948285,-0.805759444810474,-0.450035424732071,0.14608135787304,-0.0969117258219142,-0.0733314296278907,0.275082091402605,0.149146462599162,-0.677448869096937,-0.91087958293543,-0.673131547117624,-0.270632679364351,-0.323914313574794
Q9NNX1,-0.143527032785469,-0.268152701940734,-0.302681976564281,-0.0750602983318185,-0.22324149365314,0.017333153861044,0.733641133070501,0.469340154057188,0.374113493643488,-1.52262572941928,-1.45703166371453,-0.789327545648474,-0.477628046266938,-0.0596623159753475,-0.207931582042804,-0.095741393463072
Q9NNX6,-1.18185231612684,-1.22735168065805,-1.48613937645723,-1.59933564424142,-1.25433022191486,-0.643972063143364,-0.173599803383855,0.168435280141298,0.0548124622347789,0.946795261359452,0.835307182739702,-0.616540436345011,-0.706433001271146,-0.826126794446861,-0.728613323407112,-0.860762683098767
